setmana,paper,digital,total,pct_digital
2025-03-03,3306,165,3471,4.8
2025-03-10,3706,213,3919,5.4
2025-03-17,3755,352,4107,8.6
2025-03-24,3526,266,3792,7.0
2025-03-31,3198,227,3425,6.6
2025-04-07,2753,234,2987,7.8
2025-04-14,2338,212,2550,8.3
2025-04-21,2438,153,2591,5.9
2025-04-28,1908,174,2082,8.4
2025-05-05,3080,245,3325,7.4
2025-05-12,3000,264,3264,8.1
2025-05-19,3156,239,3395,7.0
2025-05-26,2849,250,3099,8.1
2025-06-02,2788,234,3022,7.7
2025-06-09,2260,193,2453,7.9
2025-06-16,3230,197,3427,5.7
2025-06-23,2376,180,2556,7.0
2025-06-30,3257,185,3442,5.4
2025-07-07,2663,239,2902,8.2
2025-07-14,3244,249,3493,7.1
2025-07-21,3228,298,3526,8.5
2025-07-28,2790,342,3132,10.9
2025-08-04,2747,343,3090,11.1
2025-08-11,1651,277,1928,14.4
2025-08-18,1603,225,1828,12.3
2025-08-25,1539,246,1785,13.8
2025-09-01,2234,417,2651,15.7
2025-09-08,1646,319,1965,16.2
2025-09-15,2163,493,2656,18.6
2025-09-22,1741,508,2249,22.6
2025-09-29,2724,515,3239,15.9
2025-10-06,2605,538,3143,17.1
2025-10-13,2634,545,3179,17.1
2025-10-20,2509,594,3103,19.1
2025-10-27,2150,539,2689,20.0
2025-11-03,2710,559,3269,17.1
2025-11-10,2464,556,3020,18.4
2025-11-17,2377,604,2981,20.3
2025-11-24,2286,583,2869,20.3
2025-12-01,1833,555,2388,23.2
2025-12-08,1922,438,2360,18.6
2025-12-15,2069,553,2622,21.1
2025-12-22,468,351,819,42.9
2025-12-29,842,272,1114,24.4
2026-01-05,1605,349,1954,17.9
2026-01-12,2236,540,2776,19.5
2026-01-19,2175,613,2788,22.0
2026-01-26,1742,657,2399,27.4
2026-02-02,2183,589,2772,21.2
2026-02-09,2385,613,2998,20.4
2026-02-16,2494,618,3112,19.9
2026-02-23,2310,614,2924,21.0
2026-03-02,2351,613,2964,20.7
2026-03-09,2027,684,2711,25.2
2026-03-16,2312,650,2962,21.9
2026-03-23,2640,669,3309,20.2
