fecha,ccaa,solicitudes,resoluciones_grado,grado_III,grado_II,grado_I,beneficiarios_con_derecho,sin_grado,personas_con_pia,total_prestaciones
2025-01-31,Andalucía,424865,392432,76160,138046,100066,314272,78160,297499,444349
2025-01-31,Aragón,57851,53437,13380,16240,15946,45566,7871,45476,60146
2025-01-31,"Asturias, Principado de",51635,43162,7975,11323,14726,34024,9138,33572,46375
2025-01-31,"Balears, Illes",46118,43922,8447,11428,15565,35440,8482,31871,53167
2025-01-31,Canarias,75170,59230,17662,18938,16811,53411,5819,45615,65078
2025-01-31,Cantabria,23612,23418,5281,7908,5347,18536,4882,18175,28644
2025-01-31,Castilla y León,160337,156720,34883,41479,49894,126256,30464,126076,177919
2025-01-31,Castilla - La Mancha,100119,96965,23866,26318,29706,79890,17075,77526,106150
2025-01-31,Cataluña,385490,352792,49486,101812,118088,269386,83406,231314,285708
2025-01-31,Comunitat Valenciana,219001,201840,47978,64779,60191,172948,28892,164582,248616
2025-01-31,Extremadura,59500,56996,13264,13658,14302,41224,15772,36678,43979
2025-01-31,Galicia,85714,85665,26127,26942,25900,78969,6696,77734,107056
2025-01-31,"Madrid, Comunidad de",261049,260965,65167,76627,63930,205724,55241,190266,264332
2025-01-31,"Murcia, Región de",66933,59850,15088,19487,17389,51964,7886,44845,58350
2025-01-31,"Navarra, Comunidad Foral de",21298,21230,3478,6686,6611,16775,4455,16322,22923
2025-01-31,País Vasco,117857,117706,19846,27140,38238,85224,32482,70900,101426
2025-01-31,"Rioja, La",14780,14749,2448,4404,3604,10456,4293,9344,14274
2025-01-31,Ceuta y Melilla,5678,5416,1236,1493,1279,4008,1408,3693,4921
2025-01-31,TOTAL,2177007,2046495,431772,614708,597593,1644073,402422,1521488,2133413
2025-02-28,Andalucía,423413,392607,75562,137882,101353,314797,77810,298289,446301
2025-02-28,Aragón,57888,53485,13398,16230,16020,45648,7837,45544,60232
2025-02-28,"Asturias, Principado de",51675,43328,8034,11395,14874,34303,9025,33872,47044
2025-02-28,"Balears, Illes",46508,44238,8505,11446,15680,35631,8607,31979,53311
2025-02-28,Canarias,76187,63901,19228,20133,17346,56707,7194,45948,52855
2025-02-28,Cantabria,23198,22822,5157,7745,5155,18057,4765,17860,28139
2025-02-28,Castilla y León,160402,157228,34743,41519,49989,126251,30977,126099,177693
2025-02-28,Castilla - La Mancha,100632,97418,23806,26381,30104,80291,17127,77301,106347
2025-02-28,Cataluña,386600,354986,49438,102227,119212,270877,84109,231545,285809
2025-02-28,Comunitat Valenciana,219504,204737,48185,65612,61557,175354,29383,166087,251513
2025-02-28,Extremadura,59616,57282,13310,13704,14433,41447,15835,36179,43429
2025-02-28,Galicia,85269,85220,25942,26823,25846,78611,6609,77397,107457
2025-02-28,"Madrid, Comunidad de",262487,262142,65365,77004,64265,206634,55508,190553,263911
2025-02-28,"Murcia, Región de",67463,59971,14995,19465,17519,51979,7992,45098,58963
2025-02-28,"Navarra, Comunidad Foral de",20949,20881,3367,6550,6562,16479,4402,16028,22525
2025-02-28,País Vasco,117866,117718,19685,27099,38368,85152,32566,70641,101234
2025-02-28,"Rioja, La",14827,14794,2430,4411,3644,10485,4309,9368,14300
2025-02-28,Ceuta y Melilla,5676,5454,1242,1493,1291,4026,1428,3702,4928
2025-02-28,TOTAL,2180160,2058212,432392,617119,603218,1652729,405483,1523490,2125991
2025-03-31,Andalucía,424082,394924,75089,137707,102208,315004,79920,299148,447951
2025-03-31,Aragón,58385,53675,13390,16365,16079,45834,7841,45732,60494
2025-03-31,"Asturias, Principado de",51790,43925,8184,11496,15175,34855,9070,34418,48079
2025-03-31,"Balears, Illes",46932,44108,8446,11441,15593,35480,8628,31794,52675
2025-03-31,Canarias,76190,65199,19647,20553,17729,57929,7270,46130,53152
2025-03-31,Cantabria,23289,22977,5287,7906,5126,18319,4658,18114,28795
2025-03-31,Castilla y León,160539,157559,34940,41670,49998,126608,30951,126450,178197
2025-03-31,Castilla - La Mancha,101607,98062,23913,26502,30451,80866,17196,77506,107568
2025-03-31,Cataluña,392480,357984,49579,102907,120687,273173,84811,232521,286662
2025-03-31,Comunitat Valenciana,220547,205673,47889,65888,62283,176060,29613,167279,254573
2025-03-31,Extremadura,60140,57458,13340,13785,14497,41622,15836,36400,43697
2025-03-31,Galicia,85856,85801,25826,27106,26324,79256,6545,78066,109185
2025-03-31,"Madrid, Comunidad de",265363,265236,66085,78167,64966,209218,56018,194321,270253
2025-03-31,"Murcia, Región de",68449,60474,15130,19495,17635,52260,8214,45626,59868
2025-03-31,"Navarra, Comunidad Foral de",20777,20708,3380,6493,6486,16359,4349,15929,22424
2025-03-31,País Vasco,118146,117998,19653,27161,38512,85326,32672,70696,101304
2025-03-31,"Rioja, La",14811,14805,2414,4407,3660,10481,4324,9318,14272
2025-03-31,Ceuta y Melilla,5712,5510,1244,1507,1317,4068,1442,3725,4959
2025-03-31,TOTAL,2195095,2072076,433436,620556,608726,1662718,409358,1533173,2144108
2025-04-30,Andalucía,424084,395348,74722,137675,103398,315795,79553,299894,449587
2025-04-30,Aragón,58693,54119,13498,16536,16218,46252,7867,46129,61004
2025-04-30,"Asturias, Principado de",52063,44260,8236,11561,15452,35249,9011,34812,48938
2025-04-30,"Balears, Illes",47287,43685,8257,11336,15495,35088,8597,31451,51872
2025-04-30,Canarias,76325,66835,20110,21025,18204,59339,7496,46446,53534
2025-04-30,Cantabria,23380,22962,5259,7902,5152,18313,4649,18099,28805
2025-04-30,Castilla y León,161076,158180,34904,41796,50173,126873,31307,126713,178573
2025-04-30,Castilla - La Mancha,102256,98828,24081,26683,30788,81552,17276,77705,108367
2025-04-30,Cataluña,395271,359181,49558,103019,121500,274077,85104,234486,289439
2025-04-30,Comunitat Valenciana,226297,205448,47519,65840,62424,175783,29665,168460,256587
2025-04-30,Extremadura,60562,57381,13215,13809,14522,41546,15835,36564,43825
2025-04-30,Galicia,87481,87419,26213,27693,27022,80928,6491,79688,114391
2025-04-30,"Madrid, Comunidad de",266456,266190,65999,78688,65713,210400,55790,196209,273532
2025-04-30,"Murcia, Región de",69263,60819,15204,19513,17750,52467,8352,46181,60807
2025-04-30,"Navarra, Comunidad Foral de",20737,20667,3364,6461,6554,16379,4288,15950,22481
2025-04-30,País Vasco,118843,118693,19778,27258,38981,86017,32676,72088,103117
2025-04-30,"Rioja, La",14818,14810,2404,4400,3653,10457,4353,9298,14245
2025-04-30,Ceuta y Melilla,5735,5562,1259,1520,1334,4113,1449,3726,4973
2025-04-30,TOTAL,2210627,2080387,433580,622715,614333,1670628,409759,1543899,2164077
2025-05-31,Andalucía,425258,396650,74793,138097,104508,317398,79252,301429,452267
2025-05-31,Aragón,59191,54496,13623,16663,16351,46637,7859,46529,61508
2025-05-31,"Asturias, Principado de",52296,44374,8219,11574,15525,35318,9056,34939,49345
2025-05-31,"Balears, Illes",47828,43305,8100,11234,15410,34744,8561,31159,51250
2025-05-31,Canarias,76588,68265,20680,21499,18493,60672,7593,46750,53929
2025-05-31,Cantabria,23494,23067,5242,7954,5232,18428,4639,18068,28802
2025-05-31,Castilla y León,161324,158443,35131,41854,50140,127125,31318,126965,179157
2025-05-31,Castilla - La Mancha,102491,99233,24272,26812,30941,82025,17208,78096,109372
2025-05-31,Cataluña,398610,362024,49793,103727,122858,276378,85646,236273,291859
2025-05-31,Comunitat Valenciana,227362,203821,46728,65337,62196,174261,29560,168563,257264
2025-05-31,Extremadura,60774,57318,13152,13768,14605,41525,15793,36837,44051
2025-05-31,Galicia,89575,89509,26661,28265,27953,82879,6630,81675,119231
2025-05-31,"Madrid, Comunidad de",267532,267257,66215,79017,65890,211122,56135,196986,275105
2025-05-31,"Murcia, Región de",70173,61147,15309,19430,17811,52550,8597,46549,61494
2025-05-31,"Navarra, Comunidad Foral de",23582,23481,3352,6639,7641,17632,5849,17258,24597
2025-05-31,País Vasco,119085,118937,19795,27254,39130,86179,32758,72428,103769
2025-05-31,"Rioja, La",14780,14769,2380,4426,3614,10420,4349,9323,14269
2025-05-31,Ceuta y Melilla,5774,5577,1250,1533,1342,4125,1452,3733,4980
2025-05-31,TOTAL,2225717,2091673,434695,625083,619640,1679418,412255,1553560,2182249
2025-06-30,Andalucía,426018,396914,74441,138012,105499,317952,78962,302871,455031
2025-06-30,Aragón,59558,54968,13782,16851,16505,47138,7830,47035,62221
2025-06-30,"Asturias, Principado de",52409,44483,8298,11652,15505,35455,9028,35107,49790
2025-06-30,"Balears, Illes",48429,45195,8570,11649,16069,36288,8907,32958,54887
2025-06-30,Canarias,76437,69446,20932,21852,18931,61715,7731,48365,55753
