fecha,ccaa,n_resol_grado,tiempo_sol_a_grado_dias,n_resol_pia,tiempo_grado_a_pia_dias,n_resol_pia_total,tiempo_sol_a_pia_dias
2025-01-31,Andalucía,32010,421.27,36305,200.35,36305,596.75
2025-01-31,Aragón,10173,139.54,9790,40.78,9790,185.71
2025-01-31,"Asturias, Principado de",7429,308.02,6825,23.73,6825,345.68
2025-01-31,"Balears, Illes",7619,123.9,6441,127.53,6441,248.46
2025-01-31,Canarias,13014,397.75,8975,163.04,8975,555.89
2025-01-31,Cantabria,3639,162.37,2372,45.6,2372,206.86
2025-01-31,Castilla y León,22996,114.08,16211,0.11,16211,118.89
2025-01-31,Castilla - La Mancha,15033,119.82,14112,62.88,14112,186.36
2025-01-31,Cataluña,59628,183.07,20820,94.68,20820,269.84
2025-01-31,Comunitat Valenciana,33053,249.56,33010,80.36,33010,314.59
2025-01-31,Extremadura,7980,129.29,4636,146.33,4636,278.16
2025-01-31,Galicia,7259,255.46,10508,129.34,10508,386.91
2025-01-31,"Madrid, Comunidad de",43203,194.25,29034,64.2,29034,307.9
2025-01-31,"Murcia, Región de",10682,321.2,5500,241.97,5500,524.8
2025-01-31,"Navarra, Comunidad Foral de",1242,136.0,1463,74.23,1463,204.76
2025-01-31,País Vasco,16101,69.53,8727,53.9,8727,126.3
2025-01-31,"Rioja, La",2461,56.67,1272,175.27,1272,223.72
2025-01-31,Ceuta y Melilla,417,29.79,252,25.78,252,56.3
2025-01-31,TOTAL,294333,211.94,216548,104.01,216548,333.66
2025-02-28,Andalucía,31986,432.83,37835,181.75,37835,592.02
2025-02-28,Aragón,10207,139.7,9855,37.84,9855,182.09
2025-02-28,"Asturias, Principado de",7892,311.41,7123,15.59,7123,344.43
2025-02-28,"Balears, Illes",7828,124.48,6663,124.81,6663,247.01
2025-02-28,Canarias,16954,393.64,9269,159.0,9269,551.26
2025-02-28,Cantabria,3543,162.47,2382,42.32,2382,202.51
2025-02-28,Castilla y León,23021,112.17,15996,0.08,15996,116.39
2025-02-28,Castilla - La Mancha,15583,118.32,13829,63.43,13829,183.65
2025-02-28,Cataluña,60611,185.02,20916,91.58,20916,266.67
2025-02-28,Comunitat Valenciana,36047,252.47,32658,72.56,32658,313.47
2025-02-28,Extremadura,8212,130.24,4545,146.02,4545,277.9
2025-02-28,Galicia,6937,252.76,10734,131.28,10734,387.74
2025-02-28,"Madrid, Comunidad de",43181,198.5,28353,63.55,28353,310.94
2025-02-28,"Murcia, Región de",10762,323.64,5352,243.69,5352,532.98
2025-02-28,"Navarra, Comunidad Foral de",1054,136.19,1290,72.45,1290,204.88
2025-02-28,País Vasco,16199,70.63,8480,52.85,8480,125.33
2025-02-28,"Rioja, La",2386,57.92,1255,180.92,1255,229.28
2025-02-28,Ceuta y Melilla,391,28.79,252,27.31,252,55.72
2025-02-28,TOTAL,303193,221.18,217075,96.38,217075,335.82
2025-03-31,Andalucía,28744,463.54,38979,165.59,38979,586.52
2025-03-31,Aragón,10070,138.27,9887,35.61,9887,178.93
2025-03-31,"Asturias, Principado de",8576,310.94,7498,8.48,7498,342.09
2025-03-31,"Balears, Illes",7426,125.96,6390,124.58,6390,247.1
2025-03-31,Canarias,17552,384.77,9315,157.35,9315,549.37
2025-03-31,Cantabria,3585,162.11,2477,49.52,2477,207.17
2025-03-31,Castilla y León,22493,111.7,15770,0.06,15770,115.39
2025-03-31,Castilla - La Mancha,15635,115.77,14117,62.54,14117,181.43
2025-03-31,Cataluña,60742,187.17,20454,87.92,20454,264.4
2025-03-31,Comunitat Valenciana,35439,254.59,31545,65.88,31545,311.78
2025-03-31,Extremadura,8086,129.5,4325,142.24,4325,272.64
2025-03-31,Galicia,6588,248.64,10768,136.69,10768,392.96
2025-03-31,"Madrid, Comunidad de",44116,205.45,30655,67.36,30655,320.26
2025-03-31,"Murcia, Región de",10809,326.53,5465,247.8,5465,542.83
2025-03-31,"Navarra, Comunidad Foral de",903,135.58,1157,69.7,1157,204.03
2025-03-31,País Vasco,15960,71.28,8184,54.96,8184,127.75
2025-03-31,"Rioja, La",2392,58.9,1207,176.63,1207,224.42
2025-03-31,Ceuta y Melilla,381,28.4,222,27.21,222,53.85
2025-03-31,TOTAL,299927,223.77,218705,92.84,218705,337.72
2025-04-30,Andalucía,32577,474.68,40582,150.01,40582,584.28
2025-04-30,Aragón,10084,136.86,10208,33.1,10208,175.41
2025-04-30,"Asturias, Principado de",8730,310.3,7663,6.56,7663,339.14
2025-04-30,"Balears, Illes",6450,125.9,6082,122.25,6082,244.75
2025-04-30,Canarias,18780,375.43,9291,153.36,9291,542.74
2025-04-30,Cantabria,3629,160.78,2454,48.63,2454,206.6
2025-04-30,Castilla y León,22424,111.02,15599,0.04,15599,114.86
2025-04-30,Castilla - La Mancha,15950,114.73,13970,61.61,13970,179.54
2025-04-30,Cataluña,60620,189.96,20765,84.52,20765,263.6
2025-04-30,Comunitat Valenciana,34254,258.1,31277,62.01,31277,309.9
2025-04-30,Extremadura,7937,129.37,4384,138.55,4384,269.05
2025-04-30,Galicia,7419,247.25,12142,149.45,12142,409.05
2025-04-30,"Madrid, Comunidad de",43136,208.16,31063,66.76,31063,324.95
2025-04-30,"Murcia, Región de",10402,326.92,5595,248.18,5595,548.86
2025-04-30,"Navarra, Comunidad Foral de",886,134.12,1194,64.81,1194,198.15
2025-04-30,País Vasco,16236,71.45,8685,57.37,8685,130.36
2025-04-30,"Rioja, La",2300,59.98,1129,177.68,1129,225.67
2025-04-30,Ceuta y Melilla,383,28.37,201,28.18,201,54.14
2025-04-30,TOTAL,302639,229.32,222579,89.95,222579,339.76
2025-05-31,Andalucía,36841,480.7,42574,133.37,42574,579.26
2025-05-31,Aragón,9923,135.22,9561,28.5,9561,167.07
2025-05-31,"Asturias, Principado de",8924,310.08,7860,5.21,7860,336.91
2025-05-31,"Balears, Illes",5795,126.17,5333,118.49,5333,241.29
2025-05-31,Canarias,19834,366.1,9150,150.34,9150,539.66
2025-05-31,Cantabria,3569,161.07,2376,50.95,2376,208.29
2025-05-31,Castilla y León,21591,109.37,14834,0.03,14834,113.22
2025-05-31,Castilla - La Mancha,15912,110.98,14056,61.42,14056,178.73
2025-05-31,Cataluña,61018,193.0,20092,84.74,20092,267.13
2025-05-31,Comunitat Valenciana,30962,259.96,29248,62.28,29248,310.36
