mes,entrats
2022-01,6226
2022-02,9373
2022-03,11080
2022-04,8777
2022-05,9426
2022-06,9836
2022-07,9034
2022-08,6311
2022-09,9317
2022-10,9765
2022-11,11108
2022-12,8352
2023-01,8436
2023-02,7366
2023-03,16067
2023-04,8433
2023-05,11539
2023-06,11500
2023-07,10076
2023-08,7996
2023-09,13619
2023-10,20532
2023-11,71773
2023-12,23996
2024-01,12599
2024-02,24255
2024-03,16570
2024-04,28552
2024-05,14266
2024-06,14020
2024-07,13805
2024-08,10747
2024-09,10881
2024-10,18765
2024-11,13054
2024-12,11855
2025-01,14152
2025-02,13659
2025-03,14176
2025-04,12599
2025-05,14357
2025-06,10814
2025-07,10917
2025-08,7179
2025-09,8463
2025-10,13706
2025-11,10967
2025-12,9947
2026-01,9224
2026-02,12326
2026-03,11218
