fecha,any,mes,n_resolts,total,valoracio,sol_grau,tram_grau,val_grau,pia,capecon,creacio_pia,res_pia
2022-01-01,2022,gener,105,249.0,229.0,17.0,24,188.0,20.0,15.0,0.0,5
2022-02-01,2022,febrer,229,107.0,78.0,13.0,8,63.0,36.0,34.0,0.0,2
2022-03-01,2022,març,464,189.0,140.0,14.0,12,90.0,57.0,40.0,8.0,2
2022-04-01,2022,abril,405,200.5,129.0,14.0,10,99.0,69.0,46.5,17.0,5
2022-05-01,2022,maig,590,217.0,130.0,12.0,11,94.0,85.0,40.0,43.0,1
2022-06-01,2022,juny,854,240.0,134.0,12.0,11,100.0,111.0,41.0,67.0,2
2022-07-01,2022,juliol,887,273.5,138.5,12.0,11,100.5,132.0,42.0,89.0,2
2022-08-01,2022,agost,842,294.0,141.0,12.0,11,109.0,158.0,42.0,111.0,2
2022-09-01,2022,setembre,1652,325.0,142.0,13.0,11,111.0,183.0,40.0,141.0,2
2022-10-01,2022,octubre,1906,316.0,136.0,13.0,10,106.0,179.0,35.0,144.0,2
2022-11-01,2022,novembre,2818,319.0,139.0,13.0,9,105.0,174.0,33.0,140.0,2
2022-12-01,2022,desembre,1959,323.0,142.5,14.0,9,111.0,176.0,33.0,145.0,2
2023-01-01,2023,gener,1930,335.0,150.0,14.0,10,114.0,183.0,29.0,143.0,2
2023-02-01,2023,febrer,1119,322.0,150.0,13.0,10,120.0,153.0,26.0,116.0,2
2023-03-01,2023,març,4552,345.0,155.0,15.0,9,121.0,167.0,23.0,130.0,9
2023-04-01,2023,abril,2704,335.0,155.0,17.0,9,120.0,160.0,18.0,139.0,1
2023-05-01,2023,maig,3224,344.0,158.0,19.0,10,122.0,167.0,15.0,144.0,2
2023-06-01,2023,juny,3126,330.0,156.0,21.0,10,115.0,151.0,14.0,127.0,2
2023-07-01,2023,juliol,2152,306.0,154.0,23.0,10,112.0,132.0,14.0,113.0,2
2023-08-01,2023,agost,2251,342.0,161.0,23.0,11,114.0,160.0,14.0,145.0,2
2023-09-01,2023,setembre,1863,363.0,161.0,23.0,11,114.0,193.0,14.0,173.0,2
2023-10-01,2023,octubre,2688,364.0,162.0,24.0,13,112.0,194.0,14.0,169.5,2
2023-11-01,2023,novembre,10511,377.5,170.0,25.0,13,116.5,196.5,14.0,169.5,2
2023-12-01,2023,desembre,4083,327.0,158.5,24.5,18,101.5,181.0,14.0,162.0,2
2024-01-01,2024,gener,3477,363.0,163.0,25.0,17,111.0,204.0,14.0,181.0,2
2024-02-01,2024,febrer,5023,372.0,164.0,26.0,18,111.0,216.0,14.0,188.0,2
2024-03-01,2024,març,3387,375.0,168.0,26.0,18,113.0,195.0,14.0,163.0,2
2024-04-01,2024,abril,9882,384.0,170.0,25.0,18,117.0,202.0,14.0,169.0,2
2024-05-01,2024,maig,4322,392.0,170.0,25.0,18,117.0,216.0,14.0,189.5,2
2024-06-01,2024,juny,3430,383.0,174.0,25.0,18,123.0,211.0,13.0,180.0,2
2024-07-01,2024,juliol,4249,386.0,169.0,25.0,17,119.0,225.0,16.0,193.0,2
2024-08-01,2024,agost,3124,384.5,173.0,24.0,16,126.0,196.0,19.0,169.0,1
2024-09-01,2024,setembre,2768,414.0,173.0,25.0,16,123.0,228.0,19.0,193.0,2
2024-10-01,2024,octubre,4908,376.0,175.0,23.0,14,131.5,208.0,24.0,147.0,2
2024-11-01,2024,novembre,3585,371.0,170.0,22.0,12,130.0,202.0,30.0,142.0,1
2024-12-01,2024,desembre,3487,368.0,163.0,22.0,9,122.0,207.0,36.0,140.0,2
2025-01-01,2025,gener,3142,371.0,167.5,20.0,8,127.5,209.0,37.0,136.0,2
2025-02-01,2025,febrer,3597,357.0,176.0,18.0,8,140.0,193.0,35.0,120.0,1
2025-03-01,2025,març,2908,356.0,183.0,18.0,7,147.0,160.0,30.0,112.0,2
2025-04-01,2025,abril,4365,375.5,173.0,20.0,8,134.0,195.0,41.5,127.0,2
2025-05-01,2025,maig,4463,392.0,182.0,20.0,8,142.0,197.0,37.0,133.0,2
2025-06-01,2025,juny,3377,391.0,190.0,20.0,8,151.0,195.0,35.0,133.0,2
2025-07-01,2025,juliol,4861,400.0,182.0,21.0,8,142.0,202.0,42.0,143.0,1
2025-08-01,2025,agost,2555,375.0,175.0,22.0,9,133.0,188.0,68.0,92.0,1
2025-09-01,2025,setembre,3472,379.0,170.0,23.0,9,125.0,202.0,69.0,110.0,2
2025-10-01,2025,octubre,3975,362.0,170.0,24.0,9,130.0,186.0,64.0,112.0,1
2025-11-01,2025,novembre,3926,377.0,170.0,23.0,10,132.0,200.0,62.0,133.0,2
2025-12-01,2025,desembre,3435,371.0,176.0,24.0,10,138.0,181.0,56.0,110.0,2
2026-01-01,2026,gener,3324,397.5,182.0,23.0,10,140.0,202.0,49.0,137.0,2
2026-02-01,2026,febrer,3725,376.0,178.0,24.0,11,138.0,193.0,35.0,138.0,2
2026-03-01,2026,març,4640,392.0,190.0,23.0,11,150.0,167.0,18.0,139.0,2
