fecha,any,mes,n_resolts,total,valoracio,sol_grau,tram_grau,val_grau,pia,capecon,creacio_pia,res_pia
2022-01-01,2022,gener,7283,249.0,229.0,17,24,50.0,20.0,15,0.0,5
2022-02-01,2022,febrer,9141,119.0,87.5,13,10,66.0,36.0,34,0.0,2
2022-03-01,2022,març,11917,188.0,125.0,13,11,91.5,57.0,41,6.0,2
2022-04-01,2022,abril,8612,195.0,125.0,14,11,94.0,69.0,47,16.0,5
2022-05-01,2022,maig,11454,218.0,127.5,12,10,96.0,86.5,37,42.0,1
2022-06-01,2022,juny,9337,244.0,135.0,12,11,106.0,111.0,42,64.0,2
2022-07-01,2022,juliol,7595,270.5,137.0,12,11,101.0,132.0,45,87.0,1
2022-08-01,2022,agost,7004,305.0,145.0,12,11,111.0,165.0,48,114.0,2
2022-09-01,2022,setembre,10717,322.0,139.0,13,11,108.0,181.0,43,138.0,2
2022-10-01,2022,octubre,10641,326.5,138.0,13,10,106.0,183.0,40,146.5,2
2022-11-01,2022,novembre,13722,328.0,135.0,13,10,105.0,181.0,36,142.0,2
2022-12-01,2022,desembre,8673,323.0,138.0,13,9,107.0,183.0,35,146.0,2
2023-01-01,2023,gener,8603,343.0,145.0,14,9,113.0,197.0,35,152.0,2
2023-02-01,2023,febrer,4802,328.0,146.0,14,9,114.0,176.0,33,136.0,2
2023-03-01,2023,març,18652,344.0,153.0,15,10,120.0,174.0,28,130.0,8
2023-04-01,2023,abril,10600,345.0,155.0,16,10,120.0,174.0,22,147.0,1
2023-05-01,2023,maig,12130,358.0,158.0,18,9,122.0,181.0,19,156.0,2
2023-06-01,2023,juny,11562,339.0,156.0,21,10,117.0,160.0,16,139.0,2
2023-07-01,2023,juliol,9113,320.0,156.0,22,10,116.0,141.0,15,123.0,2
2023-08-01,2023,agost,8263,342.0,160.0,23,11,117.0,165.0,15,145.0,2
2023-09-01,2023,setembre,7890,377.0,163.0,23,11,119.0,197.0,15,178.0,2
2023-10-01,2023,octubre,12479,370.0,163.0,24,13,114.0,202.0,16,178.0,2
2023-11-01,2023,novembre,74128,384.0,167.0,25,14,114.0,209.0,16,186.0,2
2023-12-01,2023,desembre,19520,341.0,157.0,25,18,104.0,188.0,16,165.0,3
2024-01-01,2024,gener,13318,377.0,163.0,25,16,112.0,214.0,15,193.0,2
2024-02-01,2024,febrer,22679,386.0,166.0,26,17,112.0,232.0,15,209.0,2
2024-03-01,2024,març,15288,382.0,166.0,26,18,113.0,209.0,15,187.0,2
2024-04-01,2024,abril,29877,396.0,169.0,25,18,119.0,216.0,15,182.0,2
2024-05-01,2024,maig,16431,391.0,168.0,25,18,116.0,223.0,15,195.0,2
2024-06-01,2024,juny,14023,397.0,174.0,25,18,126.0,223.0,14,190.0,2
2024-07-01,2024,juliol,17118,390.0,168.0,25,17,120.0,230.0,16,190.0,2
2024-08-01,2024,agost,12417,392.0,174.0,24,16,127.0,209.0,19,179.0,2
2024-09-01,2024,setembre,10799,419.0,177.0,24,16,129.0,228.0,19,196.0,2
2024-10-01,2024,octubre,19608,379.0,175.0,24,14,132.0,214.0,23,161.0,2
2024-11-01,2024,novembre,13719,372.0,169.0,22,12,128.0,209.0,34,145.0,1
2024-12-01,2024,desembre,13665,370.0,163.0,22,9,124.0,211.0,43,145.0,2
2025-01-01,2025,gener,13351,372.0,167.0,20,8,128.0,218.0,39,140.0,2
2025-02-01,2025,febrer,14445,358.0,171.5,18,8,136.0,200.0,42,121.0,1
2025-03-01,2025,març,12615,365.0,177.0,18,8,143.0,181.0,39,114.0,2
2025-04-01,2025,abril,16224,384.0,173.0,19,8,136.0,197.0,46,131.0,2
2025-05-01,2025,maig,15730,400.0,178.0,20,8,141.0,214.0,42,147.0,2
2025-06-01,2025,juny,10558,398.0,189.0,20,8,153.0,209.0,41,142.0,1
2025-07-01,2025,juliol,15088,403.0,186.0,21,8,147.0,214.0,54,143.5,1
2025-08-01,2025,agost,7872,382.0,175.0,22,9,136.0,193.0,73,93.0,1
2025-09-01,2025,setembre,10856,385.0,169.0,22,9,127.0,207.0,76,110.0,2
2025-10-01,2025,octubre,11613,371.0,170.0,23,9,128.0,200.0,70,115.0,2
2025-11-01,2025,novembre,11623,388.0,173.0,24,9,133.0,207.0,68,133.0,2
2025-12-01,2025,desembre,10094,378.0,173.0,24,10,134.0,188.0,63,115.0,2
2026-01-01,2026,gener,9905,394.0,175.0,24,10,135.0,209.0,57,140.0,2
2026-02-01,2026,febrer,11059,379.0,175.0,24,11,134.0,207.0,47,142.5,2
2026-03-01,2026,març,13680,397.0,190.0,23,11,149.0,174.0,20,144.0,2
